code,ticker_tse,symbol_stooq,date,open,high,low,close,volume,source,fetched_at
6098,6098.T,6098.jp,2014-10-16,1031.86,1124.63,1025.35,1083.94,169627055,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-17,1123.02,1171.83,1105.11,1153.93,70983335,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-20,1204.37,1248.33,1178.34,1236.93,54630780,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-21,1207.64,1233.68,1191.36,1225.53,31958581,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-22,1236.93,1243.44,1207.64,1235.32,39255158,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-23,1207.64,1212.52,1179.96,1188.12,22242716,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-24,1189.73,1192.99,1137.64,1178.34,30691028,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-27,1184.84,1204.37,1162.07,1201.13,16670210,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-28,1202.76,1212.52,1191.36,1199.50,16264383,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-29,1204.37,1222.30,1170.19,1184.84,58535437,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-30,1191.36,1194.62,1181.60,1189.73,8316826,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-10-31,1189.73,1202.76,1176.72,1202.76,8150931,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-04,1236.93,1236.93,1196.24,1219.02,16837332,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-05,1206.01,1233.68,1204.37,1232.05,8832633,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-06,1233.68,1253.19,1227.17,1240.20,19080283,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-07,1251.59,1267.85,1243.44,1266.23,19748159,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-10,1262.98,1277.61,1236.93,1261.35,10638420,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-11,1269.48,1290.66,1261.35,1284.13,11437786,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-12,1292.27,1306.92,1287.38,1289.01,13505624,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-13,1289.01,1300.41,1271.12,1277.61,7641574,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-14,1249.96,1251.59,1173.46,1192.99,29547588,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-17,1206.01,1209.27,1123.02,1140.91,23206437,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
6098,6098.T,6098.jp,2014-11-18,1163.69,1206.01,1158.81,1196.24,17168200,https://stooq.com/q/d/l/?s=6098.jp&i=d,2026-03-25T08:32:41+00:00
