code,ticker_tse,symbol_stooq,date,open,high,low,close,volume,source,fetched_at
9202,9202.T,9202.jp,1999-04-06,3527.97,3564.50,3473.11,3491.34,54159,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-07,3546.19,3610.20,3518.71,3546.19,82497,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-08,3610.20,3774.69,3591.89,3719.84,172872,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-09,3856.93,3856.93,3747.21,3811.23,242240,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-12,3765.53,3802.07,3655.91,3655.91,81732,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-13,3674.22,3701.60,3628.43,3628.43,96064,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-14,3628.43,3628.43,3409.19,3454.79,173967,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-15,3482.17,3564.50,3436.56,3436.56,121448,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-16,3463.95,3537.04,3454.79,3482.17,67507,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-19,3518.71,3527.97,3473.11,3473.11,108318,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-20,3473.11,3491.34,3436.56,3445.63,113024,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-21,3482.17,3491.34,3381.70,3399.93,116635,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-22,3445.63,3445.63,3336.00,3363.39,121339,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-23,3418.25,3500.48,3372.55,3463.95,89937,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-26,3509.65,3509.65,3463.95,3473.11,76589,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-27,3518.71,3564.50,3454.79,3454.79,102301,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-28,3454.79,3491.34,3381.70,3381.70,69259,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-04-30,3390.87,3445.63,3381.70,3381.70,101972,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-06,3454.79,3555.35,3409.19,3555.35,61818,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-07,3509.65,3527.97,3427.31,3491.34,99894,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-10,3491.34,3619.36,3491.34,3619.36,176920,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-11,3619.36,3619.36,3491.34,3491.34,120244,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-12,3509.65,3564.50,3509.65,3546.19,86436,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-13,3546.19,3573.57,3527.97,3537.04,110835,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-14,3555.35,3555.35,3509.65,3537.04,139502,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-17,3509.65,3509.65,3399.93,3399.93,101645,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-18,3409.19,3445.63,3363.39,3381.70,144206,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-19,3354.32,3381.70,3336.00,3336.00,73198,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-20,3381.70,3381.70,3290.30,3299.47,102192,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-21,3336.00,3336.00,3271.98,3271.98,91469,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-24,3290.30,3363.39,3271.98,3354.32,30417,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-25,3308.54,3381.70,3299.47,3336.00,48032,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-26,3299.47,3409.19,3299.47,3363.39,61598,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-27,3381.70,3409.19,3336.00,3336.00,48142,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-28,3290.30,3336.00,3290.30,3290.30,49346,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-05-31,3336.00,3409.19,3299.47,3409.19,46829,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-01,3454.79,3518.71,3418.25,3509.65,93877,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-02,3555.35,3601.05,3546.19,3601.05,84467,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-03,3564.50,3601.05,3491.34,3564.50,62037,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-04,3518.71,3564.50,3500.48,3564.50,20679,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-07,3564.50,3601.05,3537.04,3564.50,46391,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-08,3518.71,3573.57,3473.11,3527.97,29322,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-09,3436.56,3564.50,3436.56,3500.48,48032,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-10,3509.65,3619.36,3509.65,3610.20,83701,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-11,3564.50,3646.75,3564.50,3564.50,442466,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-14,3628.43,3655.91,3573.57,3655.91,135016,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-15,3646.75,3655.91,3573.57,3591.89,53941,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-16,3573.57,3591.89,3409.19,3409.19,74291,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-17,3445.63,3482.17,3436.56,3436.56,139502,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-18,3473.11,3500.48,3409.19,3409.19,106896,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-21,3500.48,3509.65,3473.11,3500.48,110508,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-22,3546.19,3582.82,3518.71,3582.82,78121,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-23,3582.82,3582.82,3518.71,3518.71,118385,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-24,3518.71,3527.97,3491.34,3527.97,101207,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-25,3518.71,3518.71,3399.93,3399.93,98581,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-28,3445.63,3482.17,3436.56,3445.63,111163,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
9202,9202.T,9202.jp,1999-06-29,3473.11,3473.11,3381.70,3390.87,100550,https://stooq.com/q/d/l/?s=9202.jp&i=d,2026-03-21T06:28:51+00:00
