index_id,as_of_date,sector,code,company_name,ticker_tse,symbol_stooq,source,fetched_at
nikkei225,2026-03-19,Electric Machinery,6920,LASERTEC CORP.,6920.T,6920.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,6952,"CASIO COMPUTER CO., LTD.",6952.T,6952.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,6954,FANUC CORP.,6954.T,6954.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,6963,"ROHM CO., LTD.",6963.T,6963.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,6971,KYOCERA CORP.,6971.T,6971.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,6976,"TAIYO YUDEN CO., LTD.",6976.T,6976.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,6981,"MURATA MANUFACTURING CO., LTD.",6981.T,6981.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,7735,"SCREEN HOLDINGS CO., LTD.",7735.T,7735.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,7751,CANON INC.,7751.T,7751.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,7752,"RICOH CO., LTD.",7752.T,7752.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Electric Machinery,8035,TOKYO ELECTRON LTD.,8035.T,8035.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7201,"NISSAN MOTOR CO., LTD.",7201.T,7201.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7202,ISUZU MOTORS LTD.,7202.T,7202.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7203,TOYOTA MOTOR CORP.,7203.T,7203.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7205,"HINO MOTORS, LTD.",7205.T,7205.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7211,MITSUBISHI MOTORS CORP.,7211.T,7211.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7261,MAZDA MOTOR CORP.,7261.T,7261.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7267,"HONDA MOTOR CO., LTD.",7267.T,7267.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7269,SUZUKI MOTOR CORP.,7269.T,7269.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7270,SUBARU CORP.,7270.T,7270.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Automobiles & Auto parts,7272,"YAMAHA MOTOR CO., LTD.",7272.T,7272.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Precision Instruments,4543,TERUMO CORP.,4543.T,4543.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Precision Instruments,4902,"KONICA MINOLTA, INC.",4902.T,4902.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Precision Instruments,6146,DISCO CORP.,6146.T,6146.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Precision Instruments,7731,NIKON CORP.,7731.T,7731.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Precision Instruments,7733,OLYMPUS CORP.,7733.T,7733.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Precision Instruments,7741,HOYA CORP.,7741.T,7741.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Communications,9432,"NTT, INC.",9432.T,9432.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Communications,9433,KDDI CORP.,9433.T,9433.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Communications,9434,SOFTBANK CORP.,9434.T,9434.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Communications,9984,SOFTBANK GROUP CORP.,9984.T,9984.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,5831,"SHIZUOKA FINANCIAL GROUP, INC.",5831.T,5831.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,7186,"YOKOHAMA FINANCIAL GROUP, INC.",7186.T,7186.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,8304,"AOZORA BANK, LTD.",8304.T,8304.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,8306,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",8306.T,8306.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,8308,"RESONA HOLDINGS, INC.",8308.T,8308.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,8309,"SUMITOMO MITSUI TRUST GROUP, INC.",8309.T,8309.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,8316,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",8316.T,8316.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,8331,"THE CHIBA BANK, LTD.",8331.T,8331.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,8354,"FUKUOKA FINANCIAL GROUP, INC.",8354.T,8354.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Banking,8411,"MIZUHO FINANCIAL GROUP, INC.",8411.T,8411.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Other Financial Services,8253,"CREDIT SAISON CO., LTD.",8253.T,8253.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Other Financial Services,8591,ORIX CORP.,8591.T,8591.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Other Financial Services,8697,"JAPAN EXCHANGE GROUP, INC.",8697.T,8697.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Securities,8601,DAIWA SECURITIES GROUP INC.,8601.T,8601.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Securities,8604,"NOMURA HOLDINGS, INC.",8604.T,8604.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Insurance,8630,"SOMPO HOLDINGS, INC.",8630.T,8630.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Insurance,8725,"MS&AD INSURANCE GROUP HOLDINGS, INC.",8725.T,8725.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Insurance,8750,"DAI-ICHI LIFE HOLDINGS, INC.",8750.T,8750.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Insurance,8766,"TOKIO MARINE HOLDINGS, INC.",8766.T,8766.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Insurance,8795,"T&D HOLDINGS, INC.",8795.T,8795.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Fishery,1332,NISSUI CORP.,1332.T,1332.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2002,NISSHIN SEIFUN GROUP INC.,2002.T,2002.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2269,"MEIJI HOLDINGS CO., LTD.",2269.T,2269.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2282,NH FOODS LTD.,2282.T,2282.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2501,SAPPORO HOLDINGS LTD.,2501.T,2501.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2502,"ASAHI GROUP HOLDINGS, LTD.",2502.T,2502.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2503,"KIRIN HOLDINGS CO., LTD.",2503.T,2503.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2801,KIKKOMAN CORP.,2801.T,2801.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2802,"AJINOMOTO CO., INC.",2802.T,2802.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2871,NICHIREI CORP.,2871.T,2871.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Foods,2914,JAPAN TOBACCO INC.,2914.T,2914.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,3086,"J.FRONT RETAILING CO., LTD.",3086.T,3086.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,3092,"ZOZO, INC.",3092.T,3092.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,3099,ISETAN MITSUKOSHI HOLDINGS LTD.,3099.T,3099.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,3382,"SEVEN & I HOLDINGS CO., LTD.",3382.T,3382.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,7453,"RYOHIN KEIKAKU CO., LTD.",7453.T,7453.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,8233,"TAKASHIMAYA CO., LTD.",8233.T,8233.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,8252,"MARUI GROUP CO., LTD.",8252.T,8252.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,8267,"AEON CO., LTD.",8267.T,8267.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,9843,"NITORI HOLDINGS CO., LTD.",9843.T,9843.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Retail,9983,"FAST RETAILING CO., LTD.",9983.T,9983.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Services,2413,"M3, INC.",2413.T,2413.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
nikkei225,2026-03-19,Services,2432,"DENA CO., LTD.",2432.T,2432.jp,https://indexes.nikkei.co.jp/en/nkave/index/component?idx=nk225,2026-03-21T00:00:00+09:00
